Total Directions = 24
 3.5002117458154069e-01  3.5002117458154069e-01  8.6889030072220130e-01  5.2359877559829882e-01
 3.5002117458154069e-01  8.6889030072220119e-01  3.5002117458154075e-01  5.2359877559829882e-01
 8.6889030072220119e-01  3.5002117458154069e-01  3.5002117458154069e-01  5.2359877559829882e-01
-3.5002117458154069e-01  3.5002117458154069e-01  8.6889030072220130e-01  5.2359877559829882e-01
-3.5002117458154069e-01  8.6889030072220119e-01  3.5002117458154075e-01  5.2359877559829882e-01
-8.6889030072220119e-01  3.5002117458154069e-01  3.5002117458154069e-01  5.2359877559829882e-01
 3.5002117458154069e-01 -3.5002117458154069e-01  8.6889030072220130e-01  5.2359877559829882e-01
 3.5002117458154069e-01 -8.6889030072220119e-01  3.5002117458154075e-01  5.2359877559829882e-01
 8.6889030072220119e-01 -3.5002117458154069e-01  3.5002117458154069e-01  5.2359877559829882e-01
-3.5002117458154069e-01 -3.5002117458154069e-01  8.6889030072220130e-01  5.2359877559829882e-01
-3.5002117458154069e-01 -8.6889030072220119e-01  3.5002117458154075e-01  5.2359877559829882e-01
-8.6889030072220119e-01 -3.5002117458154069e-01  3.5002117458154069e-01  5.2359877559829882e-01
 3.5002117458154069e-01  3.5002117458154069e-01 -8.6889030072220130e-01  5.2359877559829882e-01
 3.5002117458154069e-01  8.6889030072220119e-01 -3.5002117458154075e-01  5.2359877559829882e-01
 8.6889030072220119e-01  3.5002117458154069e-01 -3.5002117458154069e-01  5.2359877559829882e-01
-3.5002117458154069e-01  3.5002117458154069e-01 -8.6889030072220130e-01  5.2359877559829882e-01
-3.5002117458154069e-01  8.6889030072220119e-01 -3.5002117458154075e-01  5.2359877559829882e-01
-8.6889030072220119e-01  3.5002117458154069e-01 -3.5002117458154069e-01  5.2359877559829882e-01
 3.5002117458154069e-01 -3.5002117458154069e-01 -8.6889030072220130e-01  5.2359877559829882e-01
 3.5002117458154069e-01 -8.6889030072220119e-01 -3.5002117458154075e-01  5.2359877559829882e-01
 8.6889030072220119e-01 -3.5002117458154069e-01 -3.5002117458154069e-01  5.2359877559829882e-01
-3.5002117458154069e-01 -3.5002117458154069e-01 -8.6889030072220130e-01  5.2359877559829882e-01
-3.5002117458154069e-01 -8.6889030072220119e-01 -3.5002117458154075e-01  5.2359877559829882e-01
-8.6889030072220119e-01 -3.5002117458154069e-01 -3.5002117458154069e-01  5.2359877559829882e-01
